incident_id,year,country,total_killed,total_wounded,total_kidnapped,total_affected,means_of_attack,latitude,longitude,means_of_attack_condensed,risk,risk_allyears
73,1999,Ethiopia,0,0,1,1,Kidnapping,9.145,40.489673,Kidnapping,1,137
72,1999,Angola,5,0,0,5,Unknown,-11.8775768,17.5691241,Unknown,15,143
74,1999,Sudan,1,2,0,3,Unknown,14.5844444,29.4917691,Unknown,7,981
75,1999,Chechnya,0,0,1,1,Kidnapping,43.4428286,43.4204809,Kidnapping,1,77
76,1999,Burundi,0,1,0,1,Shooting,-3.3634357,29.8870575,Shooting,2,99
77,1999,Somalia,0,0,2,2,Kidnapping,10.2950001,43.56610996,Kidnapping,2,1112
78,1999,Angola,2,2,0,4,Unknown,-9.1842148,13.9624111,Unknown,10,143
79,1999,Angola,2,0,0,2,Unknown,-7.6117323,15.0563515,Unknown,6,143
80,1999,Burundi,1,0,0,1,Unknown,-3.3239046,29.3206183,Unknown,3,99
82,1999,Indonesia,1,0,0,1,Unknown,0.85,123.78333,Unknown,3,67
81,1999,Sierra Leone,0,0,2,2,Kidnapping,8.6400349,-11.8400269,Kidnapping,2,26
83,1999,Liberia,0,0,6,6,Kidnapping,8.28694,-10.08444,Kidnapping,6,27
86,1999,Somalia,1,0,0,1,Unknown,3.325005,42.2205319,Unknown,3,1112
84,1999,Somalia,1,0,0,1,Shooting,8.3676771,49.083416,Shooting,3,1112
85,1999,Angola,1,0,0,1,Unknown,-11.8775768,17.5691241,Unknown,3,143
87,1999,Burundi,2,1,0,3,Unknown,-3.3634357,29.8870575,Unknown,8,99
88,1999,Chechnya,2,1,0,3,Aerial bombardment,43.3976147,45.6985005,Explosives,8,77
90,1999,Somalia,1,0,0,1,Shooting,2.46513,45.19062,Shooting,3,1112
89,1999,Tajikistan,1,0,0,1,Unknown,38.6281733,70.8156541,Unknown,3,28
91,1999,Kenya,1,0,0,1,Unknown,-1.256975,36.803277,Unknown,3,159
93,1999,Indonesia,0,6,0,6,Bodily assault,5.5528455,95.3192908,Bodily assault,12,67
92,1999,Colombia,0,0,1,1,Kidnapping,2.8930783,-73.7845072,Kidnapping,1,31
96,2000,Somalia,0,1,0,1,Shooting,8.3676771,49.083416,Shooting,2,1112
98,2000,Somalia,1,0,0,1,Shooting,2.03711,45.34375,Shooting,3,1112
100,2000,Somalia,2,0,0,2,Unknown,1.8427539,44.5937239,Unknown,6,1112
101,2000,Sudan,8,0,0,8,Unknown,14.5844444,29.4917691,Unknown,24,981
102,2000,Angola,3,2,0,5,Unknown,-14.06667,14.08333,Unknown,13,143
97,2000,Sudan,2,0,0,2,Unknown,8.927721,29.788925,Unknown,6,981
95,2000,Mozambique,1,0,0,1,Shooting,-25.9662133,32.5674498,Shooting,3,32
99,2000,Somalia,5,0,0,5,Unknown,8.3676771,49.083416,Unknown,15,1112
103,2000,Ethiopia,1,1,0,2,Unknown,9.145,40.489673,Unknown,5,137
104,2000,Kenya,1,0,0,1,Shooting,-1.256975,36.803277,Shooting,3,159
107,2000,Sudan,1,0,0,1,Unknown,14.5844444,29.4917691,Unknown,3,981
105,2000,Rwanda,1,0,0,1,Shooting,-1.9508511,30.0615075,Shooting,3,41
106,2000,Kosovo,1,0,0,1,Shooting,42.6371194,21.1300415,Shooting,3,26
109,2000,DR Congo,0,0,2,2,Kidnapping,1.566667,30.25,Kidnapping,2,583
108,2000,DR Congo,1,0,0,1,Shooting,-3.4055866,29.1375509,Shooting,3,583
110,2000,Somalia,1,1,0,2,Unknown,1.8427539,44.5937239,Unknown,5,1112
111,2000,Afghanistan,1,0,0,1,Aerial bombardment,33.93911,67.709953,Explosives,3,2534
112,2000,Angola,1,0,0,1,Unknown,-11.8775768,17.5691241,Unknown,3,143
113,2000,Sierra Leone,0,0,1,1,Kidnapping,7.5272741,-12.5019545,Kidnapping,1,26
114,2000,Somalia,1,0,0,1,Shooting,2.033333,45.35,Shooting,3,1112
116,2000,Somalia,1,0,0,1,Bodily assault,8.3676771,49.083416,Bodily assault,3,1112
117,2000,Iraq,2,6,0,8,Shooting,33.3024248,44.3787992,Shooting,18,336
115,2000,Angola,1,0,0,1,Unknown,-11.8775768,17.5691241,Unknown,3,143
118,2000,Somalia,0,1,0,1,Shooting,8.3676771,49.083416,Shooting,2,1112
119,2000,DR Congo,0,2,0,2,Unknown,-2.9814344,23.8222636,Unknown,4,583
121,2000,Somalia,0,0,2,2,Kidnapping,8.3676771,49.083416,Kidnapping,2,1112
120,2000,Colombia,0,0,1,1,Kidnapping,2.8930783,-73.7845072,Kidnapping,1,31
122,2000,Afghanistan,7,1,0,8,Unknown,34.3508273,62.2164003,Unknown,23,2534
123,2000,DR Congo,1,0,0,1,Unknown,0.5184021,25.2057292,Unknown,3,583
124,2000,Georgia,0,0,3,3,Kidnapping,42.14533005,45.3025268,Kidnapping,3,3
125,2000,Indonesia,0,3,0,3,Bodily assault,4.14717685,96.13821685,Bodily assault,6,67
